duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7, K_pos_1, K_pos_2, K_pos_3, K_pos_4, K_pos_5, K_pos_6, K_pos_7, K_vel_1, K_vel_2, K_vel_3, K_vel_4, K_vel_5, K_vel_6, K_vel_7
2.0,-3.5482038167195986,-29.27165906690534,29.562173502517034,-76.19896787795253,60.45260264259592,-22.78136274523371,19.937011310387597,     3.0,     3.0,     3.0,     3.0,     3.0,     0.3,     0.3,   0.005,   0.005,   0.005,   0.005,   0.005,   0.001,   0.001
2.0,-3.5482038167195986,-29.27165906690534,29.562173502517034,-76.19896787795253,60.45260264259592,-22.78136274523371,19.937011310387597
2.0,-15.76,-45.58,44.36,-108.75,44.16,-7.31,-42.7
2.0,-15.76,-45.58,44.36,-108.75,44.16,-7.31,-42.7
2.0,-15.76,-45.58,44.36,-108.75,44.16,-7.31,-42.7

CARTESIAN,X,Y,Z,ROLL,PITCH,YAW
4.0,0.388,-0.057,-0.2,90.0,0.0,120.0
11.6,0.388,-0.057,-0.2,90.0,0.0,120.0

duration,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7
3.0000,-24.8743,-32.1063,6.3663,-72.9569,57.0177,4.0946,1.5475